id,title,authority,local_government,source_type,canonical_url,status
c7d757ad-61d4-5d78-bf54-ad9f6c87c0f2,"Lots 1, 2 & 20 Entrance Road Coogee Local Structure Plan - WAPC Reference: SPN/0785 (PDF, 4.86MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-07/lots-1-2-20-entrance-road-coogee-local-structure-plan-wapc-reference-spn-0785.pdf,active
f20e0ab9-a9d2-5758-bf19-570af7435a42,"Lots 14 15 16 17 18 41 and 500 Ocean Road Coogee Structure Plan (PDF, 10.41MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-10/lots-14-15-16-17-18-41-and-500-ocean-road-coogee-structure-plan.pdf,active
41350eaf-f6e2-583e-b1c1-8a5406bca233,"Lots 4, 125 & 126 Hammond Road Success Structure Plan - WAPC Reference: SPN/0371 (PDF, 7.99MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-06/lots-4-125-126-hammond-road-success-structure-plan-wapc-reference-spn-0371.pdf,active
63b91993-8df8-5dfd-b0ce-3237c9b1a101,"Map 01 - Hamilton Hill locality (PDF, 1.36MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map1_cockburn_tps3_hamilton_hill_locality.pdf,active
0beb562d-de5d-54bc-960b-829c1b9809a2,"Map 02 - Coolbellup locality (PDF, 5.46MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map2_cockburn_tps3_coolbellup_locality.pdf,active
c7ebe4f3-fb7d-5319-a486-77894aa29fb4,"Map 03 - North Lake locality (PDF, 1.4MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map3_cockburn_tps3_north_lake_locality.pdf,active
7ccee170-1003-537f-b066-c6d8471a47d1,"Map 04 - Leeming locality (PDF, 1.38MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map4_cockburn_tps3_leeming_locality_0.pdf,active
9424b079-3def-5b68-bedc-dcc168457074,"Map 05 - Coogee locality (PDF, 1.03MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map5_cockburn_tps3_coogee_locality.pdf,active
583b1200-f4f5-50dc-823f-69a22eb110c1,"Map 06 - Spearwood locality (PDF, 1.63MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map6_cockburn_tps3_spearwood_locality.pdf,active
49bfe4f6-2d92-5c18-868e-03e7f35f102c,"Map 07 - South Lake locality (PDF, 1.36MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map7_cockburn_tps3_south_lake_locality.pdf,active
7b54df06-6751-5ca1-9b15-3c13caf5b2a9,"Map 08 - Jandakot locality (PDF, 1.6MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-05/map8-cockburn_tps3_jandakot_locality.pdf,active
65f5a34b-291e-5cc7-9d8e-94d22a5462c0,"Map 09 - Jandakot locality East (PDF, 2.03MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map9_cockburn_tps3_jandakot_locality_east.pdf,active
0deb7653-f091-50a2-9dcc-ccc187dd603b,"Map 10 - Munster locality Woodman Point (PDF, 1.14MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map10_cockburn_tps3_munster_locality_woodman.pdf,active
d98d1a9e-65b7-556d-b193-21bb90da9f47,"Map 11 - Munster locality (PDF, 1.74MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map11_cockburn_tps3_munster_locality_0.pdf,active
